sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	maddog_lineage
AY649943	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Palmar de Varela	2001	2001	2001	258	07-Jul-2004	26-Jul-2016	Urocyon cinereoargenteus	15962560	F13/01	NULL
AY649944	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Pivijay	2001	2001	2001	258	07-Jul-2004	26-Jul-2016	Urocyon cinereoargenteus	15962560	F14/01	NULL
AY649945	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Pinto	2001	2001	2001	258	07-Jul-2004	26-Jul-2016	Urocyon cinereoargenteus	15962560	F15/01	NULL
AY649946	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Aracataca	2002	2002	2002	258	07-Jul-2004	26-Jul-2016	Urocyon cinereoargenteus	15962560	F16/02	NULL
AY649947	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Ciénaga	2002	2002	2002	258	07-Jul-2004	26-Jul-2016	Urocyon cinereoargenteus	15962560	F17/02	NULL
AY649948	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Fundacion	2002	2002	2002	258	07-Jul-2004	26-Jul-2016	Urocyon cinereoargenteus	15962560	F18/02	NULL
AY649949	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Fundacion	2002	2002	2002	258	07-Jul-2004	26-Jul-2016	Urocyon cinereoargenteus	15962560	F19/02	NULL
AY649950	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Pinto	2003	2003	2003	258	07-Jul-2004	26-Jul-2016	Urocyon cinereoargenteus	15962560	F20/03	NULL
AY649951	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Galeras	2003	2003	2003	258	07-Jul-2004	26-Jul-2016	Canis familiaris	15962560	C64/03	NULL
AY649952	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Pivijay	2003	2003	2003	258	07-Jul-2004	26-Jul-2016	Canis familiaris	15962560	C65/03	NULL
AY649953	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Pivijay	2003	2003	2003	258	07-Jul-2004	26-Jul-2016	Canis familiaris	15962560	C66/03	NULL
AY854502	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1045	NULL
AY854503	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1051	NULL
AY854504	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1044	Cosmopolitan AM2a_A1
AY854505	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1079	Cosmopolitan AM2a_A1
AY854506	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1082	Cosmopolitan AM2a_A1
AY854507	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1139	Cosmopolitan AM2a_A1
AY854508	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1053	NULL
AY854509	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1049	NULL
AY854510	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1081	NULL
AY854511	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1106	NULL
AY854512	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1048	NULL
AY854513	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1083	NULL
AY854514	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	529	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1099	NULL
AY854515	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1074	Cosmopolitan AM2a_A1
AY854516	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	529	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1047	NULL
AY854517	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1131	NULL
AY854518	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1136	NULL
AY854519	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1042	NULL
AY854520	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1103	Cosmopolitan AM2a_A1
AY854521	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1108	NULL
AY854522	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1110	NULL
AY854523	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	529	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1041	NULL
AY854524	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1109	Cosmopolitan AM2a_A1
AY854525	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1075	Cosmopolitan AM2a_A1
AY854526	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	530	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1080	NULL
AY854527	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1050	Cosmopolitan AM2a_A1
AY854528	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1054	NULL
AY854529	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1085	Cosmopolitan AM2a_A1
AY854530	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1052	Cosmopolitan AM2a_A1
AY854531	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1121	Cosmopolitan AM2a_A1
AY854532	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1132	NULL
AY854533	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1107	NULL
AY854534	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1077	Cosmopolitan AM2a_A1
AY854535	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1058	NULL
AY854536	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1056	Cosmopolitan AM2a_A1
AY854537	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	529	30-Apr-2005	25-Jan-2012	Ovis aries	16740188	V1060	NULL
AY854538	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1087	NULL
AY854539	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1057	NULL
AY854540	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1113	NULL
AY854541	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1055	NULL
AY854542	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1063	NULL
AY854543	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1064	NULL
AY854544	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1067	Cosmopolitan AM2a_A1
AY854545	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1065	Cosmopolitan AM2a_A1
AY854546	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1122	Cosmopolitan AM2a_A1
AY854547	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1125	Cosmopolitan AM2a_A1
AY854548	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	Ovis aries	16740188	V1088	Cosmopolitan AM2a_A1
AY854549	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	529	30-Apr-2005	25-Jan-2012	Sus scrofa	16740188	V1070	NULL
AY854550	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1092	Cosmopolitan AM2a_A1
AY854551	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1035	NULL
AY854552	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Capra hircus	16740188	V1069	Cosmopolitan AM2a_A1
AY854553	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	529	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1071	NULL
AY854554	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1127	Cosmopolitan AM2a_A1
AY854555	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1091	NULL
AY854556	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1111	NULL
AY854557	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	530	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1089	NULL
AY854558	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1101	Cosmopolitan AM2a_A1
AY854559	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1129	Cosmopolitan AM2a_A1
AY854560	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1114	Cosmopolitan AM2a_A1
AY854561	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1115	Cosmopolitan AM2a_A1
AY854562	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1061	Cosmopolitan AM2a_A1
AY854563	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	529	30-Apr-2005	25-Jan-2012	Ovis aries	16740188	V1117	NULL
AY854564	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1118	Cosmopolitan AM2a_A1
AY854565	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1116	NULL
AY854566	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1137	NULL
AY854567	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1036	Cosmopolitan AM2a_A1
AY854568	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1037	NULL
AY854569	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1124	Cosmopolitan AM2a_A1
AY854570	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1134	NULL
AY854571	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1135	NULL
AY854572	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1066	NULL
AY854573	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1090	Cosmopolitan AM2a_A1
AY854574	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1072	Cosmopolitan AM2a_A1
AY854575	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1039	Cosmopolitan AM2a_A1
AY854576	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1040	Cosmopolitan AM2a_A1
AY854577	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1038	NULL
AY854578	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1095	Cosmopolitan AM2a_A1
AY854589	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Quecholac	1990	1990	1990	1367	30-Apr-2005	09-Jun-2006	Canis familiaris	16303200	V590	Cosmopolitan_A1
AY854590	AL_Cosmopolitan_AM2b	Cosmopolitan AM2b	MEX	Mexico	Chihuahua	1991	1991	1991	1374	30-Apr-2005	09-Jun-2006	Lynx rufus	16303200	V680	NULL
AY854591	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Coacalco	1996	1996	1996	1380	30-Apr-2005	09-Jun-2006	Canis familiaris	16303200	V682	Cosmopolitan AM2a_A1
AY854593	AL_Cosmopolitan	Cosmopolitan	MEX	Mexico	-	-	-	2005	1378	30-Apr-2005	09-Jun-2006	skunk	16303200	V684	Cosmopolitan_A1
AY962048	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	São Paulo	1989	1989	1989	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V903	NULL
AY962049	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	São Paulo	1989	1989	1989	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V904	NULL
AY962054	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	São Paulo	1989	1989	1989	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V909	NULL
AY962057	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Paraíba	2002	2002	2002	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V913	NULL
AY962058	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Paraíba	2001	2001	2001	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V914	NULL
AY962059	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Paraíba	2000	2000	2000	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V915	NULL
AY962076	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	-	-	2005	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V969	NULL
AY962077	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	-	-	2005	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V970	NULL
AY962079	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	-	-	2005	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V972	NULL
AY962080	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Mato Grosso do Sul	-	-	2005	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V973	NULL
AY962081	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	São Paulo	1989	1989	1989	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V974	NULL
AY962084	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Minas Gerais	1987	1987	1987	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V981	NULL
AY962086	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Paraíba	2002	2002	2002	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V986	NULL
AY962089	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V996	NULL
AY962090	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Paraíba	2002	2002	2002	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V997	NULL
AY962091	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Paraíba	2002	2002	2002	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V998	NULL
AY962092	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Paraíba	2002	2002	2002	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V999	NULL
AY962093	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Paraíba	2002	2002	2002	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V1001	NULL
AY962094	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V1002	NULL
AY998244	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Mexico City	1991	1991	1991	796	04-May-2005	26-Jul-2016	Homo sapiens	16303200	V586	NULL
AY998247	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	La Paz	1991	1991	1991	607	04-May-2005	26-Jul-2016	skunk	16303200	V589	NULL
AY998248	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Quecholac	1990	1990	1990	607	04-May-2005	26-Jul-2016	Canis familiaris	16303200	V590	NULL
AY998249	AL_Cosmopolitan_AM2b	Cosmopolitan AM2b	MEX	Mexico	Hermosillo	1998	1998	1998	607	04-May-2005	26-Jul-2016	Lynx rufus	16303200	V591	NULL
AY998254	AL_Cosmopolitan_AM2b	Cosmopolitan AM2b	MEX	Mexico	Chihuahua	1991	1991	1991	607	04-May-2005	26-Jul-2016	Lynx rufus	16303200	V680	NULL
AY998256	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Coacalco	1996	1996	1996	607	04-May-2005	26-Jul-2016	Canis familiaris	16303200	V682	NULL
AY998258	AL_Cosmopolitan	Cosmopolitan	MEX	Mexico	-	-	-	2005	607	04-May-2005	26-Jul-2016	skunk	16303200	V684	NULL
AY998275	AL_RAC-SK	RAC-SK	MEX	Mexico	-	-	-	2005	799	04-May-2005	26-Jul-2016	skunk	16303200	V854	NULL
AY998283	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	San Pedro Atoyac	2001	2001	2001	607	04-May-2005	26-Jul-2016	Canis familiaris	16303200	V863	NULL
AY998299	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Tecamac	2002	2002	2002	539	04-May-2005	26-Jul-2016	Canis familiaris	16303200	V931	NULL
DQ116760	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	159	27-Jul-2005	26-Jul-2016	Canis familiaris	16701914	10565dgPB	NULL
DQ116761	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	9336fxBA	NULL
DQ116762	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2005	157	27-Jul-2005	26-Jul-2016	Felis catus	16701914	10568gtPB	NULL
DQ116763	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	10567fxPB	NULL
DQ116764	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	157	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	1407fxPE	NULL
DQ116765	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	9337fxBA	NULL
DQ116766	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	9338fxBA	NULL
DQ116767	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	9339fxBA	NULL
DQ116768	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Canis familiaris	16701914	10561dgPB	NULL
DQ116769	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2005	159	27-Jul-2005	26-Jul-2016	Felis catus	16701914	10562gtPB	NULL
DQ116770	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	10563fxPB	NULL
DQ116771	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Felis catus	16701914	10564gtPB	NULL
DQ116772	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Felis catus	16701914	10566gtPB	NULL
DQ116773	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	1406fxPE	NULL
DQ116774	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	1409fxPE	NULL
DQ116775	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Canis familiaris	16701914	1405dgPE	NULL
DQ116776	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	1403fxPE	NULL
DQ146726	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	162	21-Aug-2005	26-Jul-2016	Vulpes vulpes	16701914	4372fxPI	NULL
DQ146727	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	162	21-Aug-2005	26-Jul-2016	Vulpes vulpes	16701914	4369fxPI	NULL
